WHO Country Name;WHO Region;World Bank ranking of income 2019
Afghanistan;Eastern Mediterranean;low
Albania;European;upper middle
Algeria;African;lower middle
Andorra;European;high
Angola;African;lower middle
Antigua;and Barbuda Americas;high
Argentina;Americas;upper middle
Armenia;European;upper middle
Australia;Western Pacific;high
Austria;European;high
Azerbaijan;European;upper middle
Bahamas;Americas;high
Bahrain;Eastern Mediterranean;high
Bangladesh;South-East Asian;lower middle
Barbados;Americas;high
Belarus;European;upper middle
Belgium;European;high
Belize;Americas;upper middle
Benin;African;lower middle
Bhutan;South-East Asian;lower middle
Bolivia (Plurinational State of);Americas;lower middle
Bosniaand Herzegovina;European;upper middle
Botswana;African;upper middle
Brazil;Americas;upper middle
Brunei Darussalam;Western Pacific;high
Bulgaria;European;upper middle
Burkina Faso;African;low
Burundi;African;low
Cabo Verde;African;lower middle
Cambodia;Western Pacific;lower middle
Cameroon;African;lower middle
Canada;Americas;high
Central African Republic;African;low
Chad;African;low
Chile;Americas;high
China;Western Pacific;upper middle
Colombia;Americas;upper middle
Comoros;African;lower middle
Congo;African;lower middle
Cook Islands;Western Pacific;Not applicable
Costa Rica;Americas;upper middle
Côte d'Ivoire;African;lower middle
Croatia;European;high
Cuba;Americas;upper middle
Cyprus;European;high
Czechia;European;high
Democratic People’s Republic of Korea;South-East Asian;low
Democratic Republic of the Congo;African;low
Denmark;European;high
Djibouti;Eastern Mediterranean;lower middle
Dominica;Americas;upper middle
Dominican Republic;Americas;upper middle
Ecuador;Americas;upper middle
Egypt;Eastern Mediterranean;lower middle
El Salvador;Americas;lower middle
Equatorial Guinea;African;upper middle
Eritrea;African;low
Estonia;European;high
Eswatini;African;lower middle
Ethiopia;African;low
Fiji;Western Pacific;upper middle
Finland;European;high
France;European;high
Gabon;African;upper middle
Gambia;African;low
Georgia;European;upper middle
Germany;European;high
Ghana;African;lower middle
Greece;European;high
Grenada;Americas;upper middle
Guatemala;Americas;upper middle
Guinea;African;low
Guinea-Bissau;African;low
Guyana;Americas;upper middle
Haiti;Americas;low
Honduras;Americas;lower middle
Hungary;European;high
Iceland;European;high
India;South-East Asian;lower middle
Indonesia;South-East Asian;upper middle
Iran (Islamic Republic of);Eastern Mediterranean;upper middle
Iraq;Eastern Mediterranean;upper middle
Ireland;European;high
Israel;European;high
Italy;European;high
Jamaica;Americas;upper middle
Japan;Western Pacific;high
Jordan;Eastern Mediterranean;upper middle
Kazakhstan;European;upper middle
Kenya;African;lower middle
Kiribati;Western Pacific;lower middle
Kuwait;Eastern Mediterranean;high
Kyrgyzstan;European;lower middle
Lao People’s Democratic Republic;Western Pacific;lower middle
Latvia;European;high
Lebanon;Eastern Mediterranean;upper middle
Lesotho;African;lower middle
Liberia;African;low
Libya;Eastern Mediterranean;upper middle
Lithuania;European;high
Luxembourg;European;high
Madagascar;African;low
Malawi;African;low
Malaysia;Western Pacific;upper middle
Maldives;South-East Asian;upper middle
Mali;African;low
Malta;European;high
Marshall Islands;Western Pacific;upper middle
Mauritania;African;lower middle
Mauritius;African;high
Mexico;Americas;upper middle
Micronesia (Federated States of);Western Pacific;lower middle
Monaco;European;high
Mongolia;Western Pacific;lower middle
Montenegro;European;upper middle
Morocco;Eastern Mediterranean;lower middle
Mozambique;African;low
Myanmar;South-East Asian;lower middle
Namibia;African;upper middle
Nauru;Western Pacific;high
Nepal;South-East Asian;lower middle
Netherlands;European;high
New Zealand;Western Pacific;high
Nicaragua;Americas;lower middle
Niger;African;low
Nigeria;African;lower middle
Niue;Western Pacific;Not applicable
North Macedonia;European;upper middle
Norway;European;high
Oman;Eastern Mediterranean;high
Pakistan;Eastern Mediterranean;lower middle
Palau;Western Pacific;high
Panama;Americas;high
Papua New Guinea;Western Pacific;lower middle
Paraguay;Americas;upper middle
Peru;Americas;upper middle
Philippines;Western Pacific;lower middle
Poland;European;high
Portugal;European;high
Qatar;Eastern Mediterranean;high
Republic of Korea;Western Pacific;high
Republic of Moldova;European;lower middle
Romania;European;high
Russian Federation;European;upper middle
Rwanda;African;low
Saint Kitts and Nevis;Americas;high
Saint Lucia;Americas;upper middle
Saint Vincent and the Grenadines;Americas;upper middle
Samoa;Western Pacific;upper middle
San Marino;European;high
São Tome and Principe;African;lower middle
Saudi Arabia;Eastern Mediterranean;high
Senegal;African;lower middle
Serbia;European;upper middle
Seychelles;African;high
Sierra Leone;African;low
Singapore;Western Pacific;high
Slovakia;European;high
Slovenia;European;high
Solomon Islands;Western Pacific;lower middle
Somalia;Eastern Mediterranean;low
South Africa;African;upper middle
South Sudan;African;low
Spain;European;high
Sri Lanka;South-East Asian;lower middle
Sudan;Eastern Mediterranean;low
Suriname;Americas;upper middle
Sweden;European;high
Switzerland;European;high
Syrian Arab Republic;Eastern Mediterranean;low
Tajikistan;European;low
Thailand;South-East Asian;upper middle
Timor-Leste;South-East Asian;lower middle
Togo;African;low
Tonga;Western Pacific;upper middle
Trinidad and Tobago;Americas;high
Tunisia;Eastern Mediterranean;lower middle
Turkey;European;upper middle
Turkmenistan;European;upper middle
Tuvalu;Western Pacific;upper middle
Uganda;African;low
Ukraine;European;lower middle
United Arab Emirates;Eastern Mediterranean;high
United Kingdom of Great Britain and Northern Ireland;European;high
United Republic of Tanzania;African;lower middle
United States of America;Americas;high
Uruguay;Americas;high
Uzbekistan;European;lower middle
Vanuatu;Western Pacific;lower middle
Venezuela (Bolivarian Republic of);Americas;upper middle
Viet Nam;Western Pacific;lower middle
Yemen;Eastern Mediterranean;low
Zambia;African;lower middle
Zimbabwe;African;lower middle
